id,12m_call_history,acq_method,ann_prm_amt,bi_limit_group,channel,digital_contact_ind,geo_group,has_prior_carrier,home_lot_sq_footage,household_group,household_policy_counts,newest_veh_age,pay_type_code,pol_edeliv_ind,prdct_sbtyp_grp,product_sbtyp,telematics_ind,tenure_at_snapshot,trm_len_mo,call_counts
16164,2,method1,852.25,SPGrp2,Retail,0,suburban,1,95020,2autodwelling,2,8,type2,0,A,type2,-1,212,6,0
16165,0,method3,2462.87,NonAuto,Retail,1,urban,0,131851,1dwelling,3,-20,type1,1,A,type1,-2,13,12,3
16166,2,method1,364.71,NonAuto,Retail,0,rural,1,144821,1dwelling,1,-20,type1,1,A,type1,-2,176,12,0
16167,1,method2,147.72,NonAuto,Retail,1,suburban,1,125460,3other,3,-20,type2,1,C,type2,-2,72,12,16
16168,2,missing,326.33,NonAuto,Retail,1,rural,1,59783,1dwelling,1,-20,type1,1,B,type1,-2,190,12,0
16169,3,method1,370.82,NonAuto,Retail,0,rural,0,92368,3other,3,-20,type2,0,B,type2,-2,101,12,20
16170,9,method1,176.57,SPGrp2,Retail,1,suburban,0,118689,2autodwelling,2,8,type1,1,C,type1,0,3,6,34
16171,6,method3,846.15,NonAuto,Retail,0,rural,1,13868,1dwelling,1,-20,type1,0,A,type1,-2,220,12,0
16172,2,method3,103.1,NonAuto,Others,1,suburban,1,18331,1dwelling,1,-20,type3,1,A,type3,-2,12,12,0
16173,2,missing,397.37,NonAuto,Others,1,rural,0,21538,1dwelling,1,-20,type1,1,A,type1,-2,23,12,36
16174,3,missing,138.83,NonAuto,Others,1,urban,0,42992,1dwelling,1,-20,type3,1,A,type3,-2,0,12,0
16175,5,method1,390.74,SPGrp4,Retail,1,rural,1,11329,2autodwelling,2,8,type1,1,B,type1,0,32,6,0
16176,2,method4,1397.68,NonAuto,Retail,0,rural,0,28987,1dwelling,1,-20,type1,0,A,type1,-2,2,12,0
16177,0,method4,2372.45,NonAuto,Others,0,suburban,0,38698,1dwelling,1,-20,type1,0,B,type1,-2,70,12,0
16178,1,method3,926.5,CSLGrp3,Retail,0,urban,0,9165,2autodwelling,2,77,type1,0,B,type1,-1,20,6,22
16179,1,missing,733.54,NonAuto,Others,0,rural,0,113525,1dwelling,1,-20,type1,0,B,type1,-2,172,12,0
16180,1,method2,1143.1,NonAuto,Others,0,suburban,0,96955,1dwelling,1,-20,type1,0,C,type1,-2,110,12,97
16181,0,method3,643.92,NonAuto,Retail,1,urban,1,48889,3other,5,-20,type1,1,C,type1,-2,96,12,8
16182,1,missing,1902.04,NonAuto,Others,0,suburban,1,47371,1dwelling,1,-20,type1,0,B,type1,-2,69,12,95
16183,2,method4,3275.84,SPGrp4,Retail,0,rural,1,37813,2autodwelling,2,50,type1,0,C,type1,1,226,6,0
16184,7,method2,1851.98,NonAuto,Others,1,urban,0,45536,1dwelling,1,-20,type1,0,B,type1,-2,201,12,0
16185,9,method1,343.99,NonAuto,Others,0,suburban,0,71314,1dwelling,1,-20,type1,0,C,type1,-2,156,12,81
16186,0,method2,371.25,NonAuto,Others,1,urban,1,129237,1dwelling,1,-20,type1,1,A,type1,-2,136,12,0
16187,1,method3,12608.5,NonAuto,Retail,1,rural,0,106925,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
16188,0,method3,108.65,SPGrp3,Retail,0,suburban,0,117468,2autodwelling,2,3,type2,0,B,type2,0,204,6,0
16189,3,missing,1366.88,NonAuto,Retail,1,urban,0,85087,3other,3,-20,type1,0,C,type1,-2,98,12,0
16190,4,method2,900.24,NonAuto,Retail,0,suburban,1,23164,1dwelling,1,-20,type1,0,A,type1,-2,20,12,2
16191,0,method4,1907.76,NonAuto,Others,0,rural,1,117394,1dwelling,1,-20,type1,0,B,type1,-2,114,12,48
16192,2,method4,545.24,NonAuto,Others,0,urban,1,69890,1dwelling,1,-20,type1,0,C,type1,-2,129,12,0
16193,5,method2,1557.48,SPGrp1Miss,Retail,0,rural,0,108497,3autodwellingumb,5,8,type2,0,C,type2,1,310,6,0
16194,1,method4,1152.44,NonAuto,Others,0,urban,0,85164,1dwelling,1,-20,type2,1,A,type2,-2,1,12,90
16195,2,method3,3211.37,NonAuto,Others,1,urban,0,41815,1dwelling,1,-20,type2,1,A,type2,-2,40,12,0
16196,1,method2,702.45,SPGrp2,Retail,1,urban,1,140822,2autodwelling,2,36,type2,1,B,type2,0,110,6,0
16197,7,missing,1295.42,NonAuto,Retail,1,urban,0,65701,3other,4,-20,type1,1,A,type1,-2,17,12,0
16198,0,method2,368.59,CSLGrp1,Retail,0,rural,0,39038,2autodwelling,2,24,type1,0,A,type1,-1,33,6,0
16199,1,method2,472.08,NonAuto,Others,1,suburban,1,116979,1dwelling,1,-20,type2,1,A,type2,-2,75,12,56
16200,1,method3,209.01,CSLGrp2,Retail,1,suburban,0,43878,2autodwelling,2,8,type1,1,C,type1,0,51,6,42
16201,7,method2,520.08,NonAuto,Retail,0,rural,1,121222,1dwelling,1,-20,type1,1,A,type1,-2,5,12,67
16202,1,missing,503.06,SPGrp2,Retail,0,urban,0,64062,2autodwelling,2,10,type3,1,C,type3,-1,0,6,39
16203,4,method1,581.94,CSLGrp2,Retail,0,rural,1,31883,2autodwelling,2,68,type2,1,C,type2,1,317,6,0
16204,3,missing,420.8,SPGrp2,Retail,0,urban,1,93360,2autodwelling,2,6,type2,0,B,type2,1,155,6,0
16205,1,method2,596.23,SPGrp2,Retail,0,rural,0,93840,2autodwelling,2,85,type1,0,C,type1,-1,213,6,1
16206,1,method1,1506.14,CSLGrp3,Retail,0,suburban,1,118015,2autodwelling,2,38,type3,0,B,type3,0,133,6,26
16207,0,method1,1288.07,NonAuto,Retail,1,suburban,0,34358,1dwelling,1,-20,type2,1,A,type2,-2,9,12,160
16208,12,method3,595.38,NonAuto,Others,1,urban,1,29321,1dwelling,1,-20,type1,1,B,type1,-2,230,12,57
16209,1,missing,387.83,NonAuto,Others,0,rural,0,28554,1dwelling,1,-20,type1,1,B,type1,-2,1,12,0
16210,0,method2,810.1,SPGrp3,Retail,0,urban,1,144127,3autodwellingumb,3,51,type2,0,C,type2,1,295,6,0
16211,0,method4,2250.34,SPGrp3,Retail,1,rural,0,7560,2autodwelling,3,84,type2,1,C,type2,0,117,6,0
16212,1,method2,1020.78,NonAuto,Retail,0,urban,0,48462,3other,3,-20,type3,0,B,type3,-2,57,12,23
16213,4,missing,2171.65,NonAuto,Others,1,suburban,0,118318,1dwelling,1,-20,type1,0,C,type1,-2,90,12,13
16214,1,method4,182.45,CSLGrp3,Retail,1,rural,0,102737,2autodwelling,2,50,type1,1,B,type1,0,6,6,61
16215,0,method3,571.24,NonAuto,Retail,1,suburban,0,88848,1dwelling,1,-20,type3,1,C,type3,-2,16,12,0
16216,0,method4,618.29,NonAuto,Retail,0,rural,0,61618,1dwelling,1,-20,type1,0,B,type1,-2,239,12,78
16217,1,method2,750.78,NonAuto,Retail,1,suburban,1,9446,3other,4,-20,type1,1,B,type1,-2,63,12,31
16218,0,method2,353.63,NonAuto,Retail,0,rural,0,104536,1dwelling,1,-20,type1,1,B,type1,-2,1,12,0
16219,4,method4,1716.4,SPGrp2,Retail,1,suburban,0,79056,2autodwelling,2,8,type1,1,A,type1,-1,0,6,11
16220,0,method3,123.95,NonAuto,Retail,1,rural,0,114767,3other,4,-20,type2,1,B,type2,-2,353,12,0
16221,1,method3,4339.65,NonAuto,Retail,0,suburban,1,2761,1dwelling,1,-20,type2,0,A,type2,-2,218,12,19
16222,0,missing,1072.62,NonAuto,Others,0,urban,0,144477,1dwelling,1,-20,type1,0,C,type1,-2,232,12,0
16223,0,method2,3187.75,NonAuto,Others,1,suburban,0,81295,1dwelling,1,-20,type1,1,A,type1,-2,16,12,31
16224,0,method4,223.29,NonAuto,Retail,1,urban,0,113587,1dwelling,1,-20,type1,1,B,type1,-2,0,12,72
16225,1,method1,650.5,SPGrp3,Retail,0,rural,0,136373,2autodwelling,3,8,type3,0,C,type3,1,229,6,78
16226,5,missing,340.24,NonAuto,Others,1,suburban,1,12782,1dwelling,1,-20,type1,1,A,type1,-2,11,12,0
16227,3,method1,84.69,NonAuto,Retail,0,rural,0,110044,1dwelling,1,-20,type1,0,B,type1,-2,136,12,0
16228,7,missing,944.48,SPGrp2,Retail,1,urban,0,63671,2autodwelling,2,57,type3,1,B,type3,-1,71,6,10
16229,3,method3,801.85,NonAuto,Retail,0,urban,1,120514,1dwelling,1,-20,type3,0,A,type3,-2,9,12,65
16230,3,method4,555.1,CSLGrp2,Retail,0,urban,0,6077,3autodwellingumb,4,8,type3,0,C,type3,0,289,6,0
16231,1,method4,676.89,CSLGrp3,Retail,1,suburban,0,24441,2autodwelling,2,8,type1,1,C,type1,1,32,6,28
16232,1,method2,167.73,NonAuto,Retail,1,urban,0,50380,3other,3,-20,type1,1,A,type1,-2,83,12,15
16233,0,method1,234.87,NonAuto,Others,1,rural,0,74710,1dwelling,1,-20,type1,1,A,type1,-2,4,12,0
16234,2,method1,736.72,CSLGrp3,Retail,0,suburban,1,19532,2autodwelling,1,8,type1,0,B,type1,1,270,6,0
16235,9,missing,698.19,NonAuto,Retail,0,urban,0,88604,1dwelling,1,-20,type1,0,C,type1,-2,71,12,74
16236,0,missing,346.91,CSLGrp3,Retail,0,rural,0,41540,2autodwelling,2,55,type3,0,C,type3,-1,2,6,0
16237,1,missing,104.37,NonAuto,Retail,0,suburban,0,133545,1dwelling,1,-20,type1,0,B,type1,-2,40,12,84
16238,1,method1,1463.23,CSLGrp3,Retail,0,suburban,1,111684,2autodwelling,2,8,type2,-2,B,type2,0,107,6,0
16239,1,method3,850.31,SPGrp3,Retail,1,urban,0,113715,2autodwelling,1,16,type1,1,B,type1,1,178,6,0
16240,2,method1,1038.58,NonAuto,Retail,1,urban,1,48768,1dwelling,1,-20,type1,1,C,type1,-2,1,12,120
16241,3,missing,628.03,NonAuto,Retail,0,suburban,0,11331,1dwelling,1,-20,type2,0,B,type2,-2,237,12,61
16242,3,method3,405.3,CSLGrp2,Retail,1,urban,0,22775,2autodwelling,2,21,type2,0,B,type2,-1,371,6,10
16243,3,method1,538.51,SPGrp1Miss,Retail,0,urban,0,120683,2autodwelling,2,13,type1,0,B,type1,-1,150,6,47
16244,1,method3,245.77,CSLGrp2,Retail,0,suburban,1,138764,2autodwelling,2,29,type2,-2,C,type2,-1,293,6,21
16245,6,method2,469.14,NonAuto,Others,1,suburban,1,39708,1dwelling,1,-20,type1,1,A,type1,-2,0,12,138
16246,2,method4,166.42,NonAuto,Retail,0,rural,0,12412,1dwelling,1,-20,type2,0,B,type2,-2,284,12,52
16247,2,method4,1435.91,SPGrp2,Retail,1,suburban,1,24403,2autodwelling,2,47,type1,1,A,type1,0,16,6,38
16248,0,method1,5743.93,NonAuto,Others,1,suburban,0,80090,1dwelling,1,-20,type1,1,A,type1,-2,21,12,0
16249,5,method2,4817.47,NonAuto,Others,0,rural,1,23089,1dwelling,1,-20,type1,1,B,type1,-2,71,12,0
16250,6,method3,761.74,NonAuto,Retail,1,suburban,1,21752,1dwelling,1,-20,type1,1,B,type1,-2,17,12,125
16251,1,method1,574.44,NonAuto,Others,1,urban,0,5152,1dwelling,1,-20,type1,1,A,type1,-2,1,12,26
16252,1,method3,437.22,NonAuto,Others,0,rural,1,101027,1dwelling,1,-20,type1,1,B,type1,-2,6,12,29
16253,0,method3,210.21,NonAuto,Retail,1,rural,0,25806,1dwelling,1,-20,type1,1,B,type1,-2,1,12,53
16254,2,method1,1489.32,NonAuto,Retail,0,urban,1,95868,1dwelling,1,-20,type1,0,A,type1,-2,25,12,0
16255,23,method3,379.98,NonAuto,Retail,0,rural,1,119781,1dwelling,1,-20,type1,0,A,type1,-2,97,12,0
16256,1,method1,1184.51,NonAuto,Retail,0,urban,1,52480,1dwelling,1,-20,type1,0,C,type1,-2,90,12,51
16257,3,method3,300.95,NonAuto,Others,1,suburban,1,2693,1dwelling,1,-20,type2,0,B,type2,-2,102,12,0
16258,3,missing,284.33,NonAuto,Others,0,urban,1,5610,1dwelling,1,-20,type1,1,B,type1,-2,25,12,86
16259,4,missing,914.25,SPGrp1Miss,Retail,0,rural,0,109764,2autodwelling,2,32,type1,1,A,type1,-1,2,6,0
16260,0,method1,287.62,NonAuto,Retail,0,rural,1,70470,1dwelling,1,-20,type1,1,A,type1,-2,2,12,0
16261,2,method2,588.95,CSLGrp2,Retail,1,rural,1,147285,3autodwellingumb,5,23,type2,-2,C,type2,0,135,6,14
16262,0,method3,729.46,NonAuto,Retail,1,rural,1,36456,1dwelling,1,-20,type2,1,B,type2,-2,131,12,0
16263,1,missing,433.57,NonAuto,Others,1,suburban,1,30657,1dwelling,1,-20,type2,1,B,type2,-2,13,12,0
16264,0,method3,938.3,NonAuto,Others,1,rural,0,92616,1dwelling,1,-20,type2,0,B,type2,-2,54,12,34
16265,3,method2,1679.01,SPGrp3,Retail,0,suburban,1,135603,2autodwelling,2,76,type2,0,C,type2,1,100,6,112
16266,5,method4,1365.93,NonAuto,Retail,0,urban,0,142833,1dwelling,1,-20,type1,0,C,type1,-2,206,12,0
16267,0,method2,3110.58,NonAuto,Retail,0,rural,1,149570,1dwelling,1,-20,type1,1,A,type1,-2,4,12,0
16268,13,method4,1754.94,NonAuto,Retail,0,rural,1,131741,1dwelling,1,-20,type3,0,A,type3,-2,198,12,102
16269,4,method4,1524.91,NonAuto,Retail,0,suburban,0,50512,1dwelling,1,-20,type3,0,C,type3,-2,92,12,0
16270,5,method3,602.05,SPGrp2,Retail,0,rural,1,117559,2autodwelling,2,50,type3,0,C,type3,-1,34,6,46
16271,13,method1,154.9,NonAuto,Retail,1,suburban,1,29935,1dwelling,1,-20,type1,1,C,type1,-2,2,12,61
16272,4,method3,2200.85,NonAuto,Retail,0,suburban,0,115501,1dwelling,1,-20,type2,0,B,type2,-2,225,12,63
16273,4,missing,433.83,NonAuto,Retail,0,rural,0,135713,3other,3,-20,type1,0,B,type1,-2,127,12,33
16274,0,method3,1734.85,NonAuto,Others,0,rural,1,136008,1dwelling,1,-20,type1,0,C,type1,-2,5,12,24
16275,1,method4,1007.83,NonAuto,Others,0,suburban,0,147648,1dwelling,1,-20,type2,1,A,type2,-2,0,12,0
16276,2,method2,188.32,NonAuto,Retail,0,suburban,0,62128,3other,3,-20,type1,0,B,type1,-2,196,12,95
16277,3,method3,147.87,NonAuto,Others,0,urban,1,17460,1dwelling,1,-20,type1,0,C,type1,-2,106,12,43
16278,3,method4,735.35,NonAuto,Retail,0,urban,0,81957,1dwelling,1,-20,type1,1,B,type1,-2,1,12,75
16279,1,method1,1236.45,SPGrp4,Retail,1,rural,1,23001,2autodwelling,1,84,type1,1,C,type1,1,12,6,0
16280,3,method1,839.47,NonAuto,Others,1,suburban,0,30894,1dwelling,1,-20,type1,1,A,type1,-2,0,12,0
16281,0,method2,1201.8,NonAuto,Retail,0,suburban,1,68325,1dwelling,1,-20,type2,0,A,type2,-2,56,12,7
16282,0,method4,1546.95,SPGrp1Miss,Retail,0,urban,1,34900,2autodwelling,2,61,type1,1,B,type1,0,21,6,0
16283,0,missing,463.43,NonAuto,Retail,1,urban,0,143261,1dwelling,1,-20,type1,1,C,type1,-2,3,12,15
16284,1,method1,2959.02,NonAuto,Others,0,rural,1,111811,1dwelling,1,-20,type1,0,B,type1,-2,120,12,14
16285,20,method4,695.71,NonAuto,Others,1,suburban,1,51649,1dwelling,1,-20,type1,1,C,type1,-2,95,12,222
16286,2,method3,1906.84,NonAuto,Others,0,urban,0,42257,1dwelling,1,-20,type1,1,A,type1,-2,73,12,0
16287,0,method1,171.02,NonAuto,Others,1,suburban,1,49845,1dwelling,1,-20,type1,1,B,type1,-2,1,12,0
16288,2,missing,1743.56,NonAuto,Retail,0,suburban,1,147735,3other,4,-20,type3,0,B,type3,-2,27,12,0
16289,0,method4,451.92,NonAuto,Retail,1,suburban,0,12062,3other,3,-20,type2,0,C,type2,-2,76,12,16
16290,2,method3,2126.42,SPGrp1Miss,Retail,0,suburban,0,48199,2autodwelling,2,31,type1,0,C,type1,0,5,6,16
16291,2,method2,626.45,NonAuto,Retail,1,rural,1,49760,3other,4,-20,type1,1,C,type1,-2,105,12,22
16292,2,method2,2803.58,NonAuto,Others,0,suburban,0,63024,1dwelling,1,-20,type1,1,B,type1,-2,15,12,0
16293,4,method1,1022.69,NonAuto,Others,0,suburban,0,52653,1dwelling,1,-20,type2,0,B,type2,-2,76,12,0
16294,0,method3,1151.74,NonAuto,Retail,0,urban,1,80351,1dwelling,2,-20,type3,0,C,type3,-2,246,12,0
16295,4,method4,3538.52,NonAuto,Retail,1,urban,1,103568,1dwelling,1,-20,type1,1,B,type1,-2,57,12,0
16296,0,method3,1183.96,NonAuto,Retail,0,urban,0,56337,1dwelling,1,-20,type1,1,B,type1,-2,13,12,0
16297,0,method1,740.57,CSLGrp1,Retail,0,suburban,1,30374,3autodwellingumb,3,36,type2,0,B,type2,-1,284,6,17
16298,1,missing,343.24,SPGrp4,Retail,1,rural,1,42487,2autodwelling,2,79,type2,1,B,type2,0,238,6,38
16299,2,method3,1321.12,NonAuto,Retail,0,suburban,1,3741,3other,3,-20,type2,0,C,type2,-2,44,12,22
16300,0,method1,134.21,NonAuto,Others,0,urban,1,31203,1dwelling,1,-20,type2,0,A,type2,-2,27,12,42
16301,2,method2,628.04,SPGrp3,Retail,0,rural,1,1143,2autodwelling,2,8,type3,0,B,type3,1,283,6,8
16302,14,missing,575.88,NonAuto,Retail,0,suburban,0,68424,1dwelling,1,-20,type1,0,B,type1,-2,38,12,167
16303,0,method3,1539.2,NonAuto,Others,0,rural,1,140979,1dwelling,1,-20,type2,0,A,type2,-2,180,12,29
16304,3,method2,1771.16,NonAuto,Others,1,urban,0,13970,1dwelling,1,-20,type1,1,A,type1,-2,1,12,0
16305,15,missing,381.74,NonAuto,Retail,1,rural,1,97847,1dwelling,2,-20,type3,1,B,type3,-2,11,12,64
16306,4,method1,195.71,CSLGrp2,Retail,0,suburban,1,149126,2autodwelling,2,8,type2,0,A,type2,1,297,6,33
16307,0,method4,4217.68,NonAuto,Retail,0,rural,1,13770,1dwelling,1,-20,type1,0,B,type1,-2,116,12,0
16308,3,method4,462.14,NonAuto,Retail,0,rural,1,66838,1dwelling,1,-20,type3,0,C,type3,-2,1,12,31
16309,7,method2,514.73,NonAuto,Others,0,rural,0,30267,1dwelling,1,-20,type1,1,B,type1,-2,20,12,0
16310,0,missing,191.34,NonAuto,Retail,0,suburban,1,50141,1dwelling,1,-20,type2,1,A,type2,-2,131,12,0
16311,0,method2,457.6,NonAuto,Retail,0,suburban,0,130703,1dwelling,1,-20,type1,0,A,type1,-2,79,12,0
16312,1,missing,318.41,CSLGrp3,Retail,1,rural,1,86487,2autodwelling,2,48,type1,1,B,type1,1,19,6,36
16313,13,method3,3286.33,NonAuto,Others,0,urban,1,91516,1dwelling,1,-20,type1,0,A,type1,-2,64,12,54
16314,1,missing,773.23,NonAuto,Others,0,urban,1,3408,1dwelling,1,-20,type1,0,A,type1,-2,32,12,51
16315,11,missing,822,NonAuto,Retail,1,rural,0,110478,1dwelling,1,-20,type1,1,A,type1,-2,100,12,118
16316,0,method2,240.11,NonAuto,Retail,1,suburban,1,62933,1dwelling,1,-20,type1,1,C,type1,-2,12,12,0
16317,3,method3,508.47,NonAuto,Retail,0,suburban,1,81310,1dwelling,1,-20,type1,1,C,type1,-2,8,12,8
16318,8,missing,72.78,SPGrp1Miss,Retail,0,urban,0,131423,2autodwelling,2,6,type1,0,C,type1,1,46,6,83
16319,2,method1,1070.99,NonAuto,Others,1,rural,0,54119,1dwelling,1,-20,type1,1,A,type1,-2,42,12,0
16320,0,method3,2545.97,NonAuto,Retail,0,urban,0,86749,1dwelling,1,-20,type1,0,B,type1,-2,133,12,82
16321,2,method4,1097.13,NonAuto,Others,0,suburban,0,26611,1dwelling,1,-20,type1,1,A,type1,-2,4,12,35
16322,1,missing,1195.87,NonAuto,Others,0,rural,1,30424,1dwelling,1,-20,type1,1,A,type1,-2,1,12,48
16323,1,method1,2637.76,NonAuto,Others,1,rural,1,134007,1dwelling,1,-20,type3,1,B,type3,-2,2,12,58
16324,0,method4,645.15,NonAuto,Retail,0,suburban,0,34630,3other,5,-20,type2,0,C,type2,-2,155,12,97
16325,9,missing,1971.7,SPGrp4,Retail,0,urban,0,85222,2autodwelling,2,4,type1,0,A,type1,1,129,6,156
16326,0,missing,950.81,NonAuto,Retail,0,urban,0,11872,1dwelling,1,-20,type1,0,A,type1,-2,96,12,0
16327,2,method4,422.11,SPGrp1Miss,Retail,1,urban,1,148821,2autodwelling,2,8,type1,1,C,type1,0,307,6,38
16328,3,missing,1425.45,NonAuto,Retail,0,suburban,0,146661,3other,3,-20,type2,0,C,type2,-2,338,12,32
16329,5,method1,389.89,NonAuto,Retail,1,suburban,1,7556,3other,3,-20,type2,0,C,type2,-2,119,12,0
16330,1,method3,975.16,NonAuto,Others,0,suburban,1,23221,1dwelling,1,-20,type2,1,A,type2,-2,2,12,30
16331,1,method2,163.48,NonAuto,Others,0,urban,1,78167,1dwelling,1,-20,type1,0,B,type1,-2,193,12,77
16332,4,method4,1868.89,NonAuto,Retail,0,rural,0,40654,1dwelling,1,-20,type1,1,C,type1,-2,5,12,0
16333,0,method1,1945.04,NonAuto,Retail,0,rural,1,419,1dwelling,1,-20,type2,0,B,type2,-2,294,12,0
16334,1,missing,2483.86,CSLGrp3,Retail,0,rural,0,18730,2autodwelling,2,81,type2,0,C,type2,-1,88,6,12
16335,3,method1,704.01,NonAuto,Others,0,rural,1,93410,1dwelling,1,-20,type1,0,C,type1,-2,63,12,100
16336,9,missing,420.71,NonAuto,Retail,0,suburban,1,89387,1dwelling,1,-20,type1,0,B,type1,-2,10,12,0
16337,3,method3,672.48,NonAuto,Others,0,urban,0,101761,1dwelling,1,-20,type2,0,A,type2,-2,128,12,0
16338,0,method1,446.64,NonAuto,Others,1,rural,0,110912,1dwelling,1,-20,type1,1,C,type1,-2,0,12,0
16339,0,method2,615.87,NonAuto,Retail,1,urban,1,130416,1dwelling,1,-20,type1,1,A,type1,-2,24,12,0
16340,3,method1,221.35,CSLGrp3,Retail,0,rural,1,60103,2autodwelling,2,8,type1,0,A,type1,-1,75,6,0
16341,2,method2,262.95,SPGrp4,Retail,0,urban,1,146710,2autodwelling,2,24,type1,0,B,type1,1,53,6,88
16342,4,method1,1780,NonAuto,Retail,1,rural,0,132449,3other,4,-20,type2,1,B,type2,-2,95,12,0
16343,2,method2,225.14,NonAuto,Others,1,rural,1,112658,1dwelling,1,-20,type1,1,A,type1,-2,92,12,49
16344,3,method4,90.59,NonAuto,Others,0,rural,0,53160,1dwelling,1,-20,type1,0,B,type1,-2,71,12,33
16345,4,method4,331.13,NonAuto,Others,0,urban,0,133590,1dwelling,1,-20,type1,0,A,type1,-2,43,12,36
16346,0,method4,855.16,NonAuto,Others,0,urban,1,10270,1dwelling,1,-20,type1,0,A,type1,-2,80,12,0
16347,1,method2,716.88,NonAuto,Others,0,rural,0,39636,1dwelling,1,-20,type1,0,A,type1,-2,7,12,0
16348,0,method1,1571.49,NonAuto,Others,0,suburban,0,36253,1dwelling,1,-20,type1,1,B,type1,-2,15,12,0
16349,0,method1,2146.91,NonAuto,Others,0,rural,0,14476,1dwelling,1,-20,type2,0,B,type2,-2,41,12,0
16350,2,method1,694.97,NonAuto,Retail,0,suburban,0,31283,1dwelling,1,-20,type1,0,A,type1,-2,154,12,0
16351,1,method4,69.52,NonAuto,Retail,1,rural,0,133439,1dwelling,1,-20,type1,1,A,type1,-2,119,12,0
16352,7,method3,171.82,SPGrp4,Retail,0,suburban,1,24763,2autodwelling,2,26,type2,0,A,type2,1,302,6,17
16353,4,method4,698.32,NonAuto,Others,1,rural,0,110473,1dwelling,1,-20,type1,1,A,type1,-2,26,12,28
16354,1,method3,543.33,NonAuto,Others,0,suburban,0,94694,1dwelling,1,-20,type1,0,B,type1,-2,85,12,0
16355,1,missing,1509.95,NonAuto,Others,0,rural,0,34957,1dwelling,1,-20,type1,0,C,type1,-2,19,12,0
16356,0,method4,132.98,NonAuto,Others,0,rural,1,35034,1dwelling,1,-20,type1,0,A,type1,-2,164,12,0
16357,1,missing,467.13,CSLGrp3,Retail,0,rural,1,137773,2autodwelling,2,2,type1,0,A,type1,-1,73,6,4
16358,0,method1,1068.94,NonAuto,Others,0,urban,0,21367,1dwelling,1,-20,type1,0,C,type1,-2,156,12,0
16359,13,method3,2337.33,NonAuto,Retail,0,urban,0,139875,1dwelling,1,-20,type1,0,C,type1,-2,108,12,72
16360,2,method4,771.51,SPGrp3,Retail,1,suburban,1,93788,2autodwelling,2,11,type1,1,B,type1,-1,22,6,0
16361,11,missing,690.07,NonAuto,Others,1,rural,1,117280,1dwelling,1,-20,type3,1,A,type3,-2,1,12,51
16362,1,missing,98.4,NonAuto,Others,1,urban,1,126993,1dwelling,1,-20,type1,1,B,type1,-2,11,12,0
16363,6,method4,827.38,SPGrp2,Retail,0,rural,1,17571,2autodwelling,2,8,type1,0,C,type1,0,62,6,0
16364,0,missing,353.19,NonAuto,Others,0,urban,1,12880,1dwelling,1,-20,type3,1,B,type3,-2,1,12,0
16365,2,missing,770.31,NonAuto,Retail,1,suburban,0,2061,1dwelling,1,-20,type1,1,A,type1,-2,36,12,0
16366,0,method1,344.64,SPGrp1Miss,Retail,1,urban,0,149708,2autodwelling,2,66,type1,1,C,type1,-1,26,6,0
16367,2,method2,9878.13,NonAuto,Others,1,urban,0,15897,1dwelling,1,-20,type1,1,A,type1,-2,7,12,34
16368,1,method2,292.97,NonAuto,Retail,1,urban,0,90910,1dwelling,1,-20,type1,0,C,type1,-2,226,12,0
16369,4,method1,298.74,NonAuto,Others,0,rural,1,21125,1dwelling,1,-20,type2,0,C,type2,-2,33,12,0
16370,0,method2,935.57,NonAuto,Others,0,suburban,0,130291,1dwelling,1,-20,type2,0,B,type2,-2,61,12,55
16371,5,missing,2064.52,NonAuto,Others,0,suburban,1,63876,1dwelling,1,-20,type1,1,A,type1,-2,34,12,0
16372,1,missing,387.44,NonAuto,Retail,1,suburban,0,68723,1dwelling,1,-20,type1,1,C,type1,-2,149,12,0
16373,1,method2,351.89,NonAuto,Retail,0,suburban,1,83659,1dwelling,1,-20,type1,0,B,type1,-2,139,12,62
16374,2,method4,580.94,CSLGrp3,Retail,1,rural,0,92697,2autodwelling,2,5,type2,0,C,type2,1,141,6,152
16375,0,method2,64.24,SPGrp4,Retail,0,suburban,1,33909,2autodwelling,2,49,type2,0,B,type2,1,137,6,0
16376,1,method4,1975.08,CSLGrp3,Retail,0,urban,0,138183,2autodwelling,2,40,type1,0,A,type1,-1,23,6,44
16377,0,method2,581.59,CSLGrp2,Retail,0,suburban,0,79180,2autodwelling,1,37,type2,0,B,type2,1,240,6,0
16378,4,method4,564.92,NonAuto,Others,1,suburban,0,73739,1dwelling,1,-20,type1,1,C,type1,-2,0,12,33
16379,1,method1,1376.64,NonAuto,Retail,0,rural,1,66951,1dwelling,1,-20,type1,1,A,type1,-2,13,12,0
16380,4,missing,1031.12,NonAuto,Retail,1,suburban,1,78989,1dwelling,1,-20,type2,0,C,type2,-2,75,12,35
16381,0,method2,526.32,NonAuto,Others,0,rural,0,109656,1dwelling,1,-20,type1,0,C,type1,-2,108,12,0
16382,1,method4,422.89,NonAuto,Retail,0,urban,0,17031,1dwelling,1,-20,type1,1,C,type1,-2,1,12,36
16383,2,method4,286.47,NonAuto,Retail,0,rural,1,135594,1dwelling,1,-20,type1,0,C,type1,-2,25,12,0
16384,2,method1,831.38,NonAuto,Retail,1,urban,0,129866,3other,5,-20,type3,1,B,type3,-2,47,12,15
